token	lemma	pos	(onset, offset)	entity	babelfy_id(iob)	link	TP	FP	FN
Russian	russian	ADJ	(0, 0)	Russian forces	B-bn:15995595n	https://babelnet.org/synset?word=bn:15995595n&lang=EN&langTrans=DE
forces	force	NOUN	(1, 1)	Russian forces	I-bn:15995595n	https://babelnet.org/synset?word=bn:15995595n&lang=EN&langTrans=DE
have	have	AUX	(2, 2)
already	already	ADV	(3, 3)
triggered	trigger	VERB	(4, 4)	triggered	B-bn:00082306v	https://babelnet.org/synset?word=bn:00082306v&lang=EN&langTrans=DE
a	a	DET	(5, 5)
humanitarian	humanitarian	ADJ	(6, 6)	humanitarian	B-bn:00104387a	https://babelnet.org/synset?word=bn:00104387a&lang=EN&langTrans=DE
catastrophe	catastrophe	NOUN	(7, 7)	catastrophe	B-bn:00014640n	https://babelnet.org/synset?word=bn:00014640n&lang=EN&langTrans=DE
in	in	ADP	(8, 8)
the	the	DET	(9, 9)
east	east	NOUN	(10, 10)	east	B-bn:00101959a	https://babelnet.org/synset?word=bn:00101959a&lang=EN&langTrans=DE
,	,	PUNCT	(11, 11)
reducing	reduce	VERB	(12, 12)	reducing	B-bn:00084079v	https://babelnet.org/synset?word=bn:00084079v&lang=EN&langTrans=DE
Mariupol	Mariupol	PROPN	(13, 13)	Mariupol	B-bn:17355247n	https://babelnet.org/synset?word=bn:17355247n&lang=EN&langTrans=DE
to	to	PART	(14, 14)
ruins	ruin	VERB	(15, 15)	ruins	B-bn:00068519n	https://babelnet.org/synset?word=bn:00068519n&lang=EN&langTrans=DE
,	,	PUNCT	(16, 16)
but	but	CCONJ	(17, 17)
they	they	PRON	(18, 18)
have	have	AUX	(19, 19)
failed	fail	VERB	(20, 20)	failed	B-bn:00087966v	https://babelnet.org/synset?word=bn:00087966v&lang=EN&langTrans=DE
to	to	PART	(21, 21)
inflict	inflict	VERB	(22, 22)	inflict	B-bn:00084076v	https://babelnet.org/synset?word=bn:00084076v&lang=EN&langTrans=DE
